A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSENCE, WITHDRAWAL, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 53, ¥, , N, 1.65, .10, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSENCE, WITHOUT, YES, 152, 2, .013, 0.000, 0.0000, .0044, 1, 2, 4.0, 3, 22, 53, ¥, , N, 1.65, .10, .010, 1, 15, 583, 2.60, , AD, 1.08, .17, .060, 0
ABSENT, PRESENT, YES, 143, 42, .294, .062, .0010, .0049, 1, 1, 2.0, 1, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 12, 377, 3.37, N, N, 1.25, .75, .275, 1
ABSENT, GONE, YES, 143, 19, .133, 0.000, .0190, .0054, 4, 1, 3.0, 1, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 20, 195, 3.02, G, AJ, 1.47, .29, .028, 0
ABSENT, MINDED, YES, 143, 13, .091, .107, 0.0000, 0.0000, 0, 1, 0.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 21, 3, ¥, , AJ, 1.65, .06, .010, 0
ABSENT, MISSING, YES, 143, 11, .077, .013, 0.0000, .0258, 1, 1, 3.0, 2, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 11, 33, ¥, , V, .80, .30, .008, 1
ABSENT, HERE, YES, 143, 8, .056, 0.000, .0350, .0147, 4, 1, 2.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 4, 750, 2.81, , AD, .50, .75, .478, 1
ABSENT, SICK, YES, 143, 8, .056, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 13, 51, 3.89, , AJ, 2.23, .92, .390, 1
ABSENT, NOT HERE, NO, 143, 6, .042, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSENT, SCHOOL, YES, 143, 6, .042, 0.000, .0010, 0.0000, 2, 1, 0.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 22, 492, 5.25, T, N, 3.35, .70, .086, 1
ABSENT, TARDY, YES, 143, 5, .035, 0.000, 0.0000, .0006, 0, 1, 1.0, 1, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 3, 1, 2.53, , AJ, .67, .33, .079, 1
ABSENT, AWAY, YES, 143, 3, .021, 0.000, .0140, .0212, 1, 1, 3.0, 2, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 17, 456, 2.53, , AD, 2.44, .38, .037, 1
ABSENT, LOST, YES, 143, 3, .021, 0.000, .0190, .0035, 2, 1, 2.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 6, 173, ¥, G, AJ, .75, .75, .612, 1
ABSENT, THERE, YES, 143, 2, .014, 0.000, .0360, .0416, 2, 1, 1.0, 0, 12, 28, ¥, , AJ, 1.55, .27, .029, 1, 9, 2724, 2.12, , AD, .50, .50, .472, 0
ABSTRACT, ART, YES, 146, 34, .233, .013, .0290, .0010, 1, 2, 1.0, 1, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 17, 208, 4.36, , N, 1.31, .50, .029, 1
ABSTRACT, PAINTING, YES, 146, 15, .103, 0.000, 0.0000, .0652, 0, 2, 2.0, 1, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 18, 59, 6.18, , N, 3.00, .53, .036, 1
ABSTRACT, CONCRETE, YES, 146, 6, .041, .027, 0.0000, 0.0000, 0, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 15, 48, 5.50, , AJ, 1.87, .40, .021, 1
ABSTRACT, DIFFERENT, YES, 146, 6, .041, 0.000, .0010, .0005, 1, 2, 1.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 12, 312, 2.75, , AJ, 3.45, 1.00, .310, 1
ABSTRACT, WEIRD, YES, 146, 5, .034, 0.000, .0010, .0011, 1, 2, 1.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 15, 10, 2.39, , AJ, 3.69, .85, .165, 1
ABSTRACT, UNCLEAR, YES, 146, 4, .027, .020, 0.0000, 0.0000, 0, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 17, 57, ¥, , AJ, 1.10, .40, .018, 0
ABSTRACT, MIND, YES, 146, 3, .021, 0.000, .0040, .0024, 3, 2, 2.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 10, 325, 2.60, N, N, 1.67, .78, .034, 1
ABSTRACT, THOUGHT, YES, 146, 3, .021, 0.000, .0090, .0070, 3, 2, 3.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 9, 442, 1.28, , N, 1.78, .67, .083, 1
ABSTRACT, WILD, YES, 146, 3, .021, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 15, 56, 3.72, , AJ, 1.17, .42, .037, 0
ABSTRACT, BLACK, YES, 146, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 10, 203, 4.66, , AJ, .50, .50, .381, 1
ABSTRACT, COMPLEX, YES, 146, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 13, 91, 2.53, , AJ, 1.60, .30, .014, 1
ABSTRACT, DRAW, YES, 146, 2, .014, 0.000, .0170, 0.0000, 1, 2, 0.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 15, 56, 4.32, N, V, 1.53, .47, .107, 1
ABSTRACT, GEOMETRY, YES, 146, 2, .014, 0.000, 0.0000, .0075, 0, 2, 1.0, 1, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 11, 9, 3.33, , N, 2.50, .30, .022, 1
ABSTRACT, IDEA, YES, 146, 2, .014, 0.000, .0030, .0105, 2, 2, 3.0, 1, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 17, 195, 2.87, , N, 2.06, .41, .084, 1
ABSTRACT, MATH, YES, 146, 2, .014, 0.000, .0070, .0002, 1, 2, 1.0, 1, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 19, 4, 3.78, , N, 2.26, .58, .161, 1
ABSTRACT, PICASSO, NO, 146, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSTRACT, THINK, YES, 146, 2, .014, 0.000, .0080, .0043, 4, 2, 3.0, 0, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, 22, 433, 3.38, , V, 2.85, .65, .107, 1
ABSTRACT, UNREAL, NO, 146, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 34, ¥, G, AJ, 1.12, .19, .005, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSURD, RIDICULOUS, YES, 153, 41, .268, .034, .0010, .0356, 1, 3, 8.0, 7, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 13, 19, 1.92, , AJ, 2.67, .08, .009, 1
ABSURD, CRAZY, YES, 153, 21, .137, 0.000, .0250, .0048, 5, 3, 3.0, 1, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 16, 34, 2.20, , AJ, 1.30, .60, .139, 0
ABSURD, STUPID, YES, 153, 21, .137, 0.000, .0600, .0196, 5, 3, 1.0, 0, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 6, 24, 3.39, , AJ, 1.67, .83, .368, 1
ABSURD, WEIRD, YES, 153, 8, .052, 0.000, .0310, .0303, 4, 3, 2.0, 0, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 15, 10, 2.39, , AJ, 3.69, .85, .165, 1
ABSURD, STRANGE, YES, 153, 6, .039, 0.000, .0180, .0222, 3, 3, 1.0, 0, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 12, 84, 2.45, , AJ, 3.80, .70, .169, 1
ABSURD, DUMB, YES, 153, 5, .033, 0.000, .0860, .0721, 4, 3, 1.0, 0, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 4, 13, 3.36, , AJ, .50, .75, .405, 1
ABSURD, NONSENSE, YES, 153, 4, .026, 0.000, 0.0000, .0406, 0, 3, 5.0, 5, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 20, 13, 1.90, , N, 1.44, .06, .001, 1
ABSURD, SILLY, YES, 153, 4, .026, 0.000, .0660, .0277, 4, 3, 4.0, 2, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 16, 15, 2.57, , AJ, 1.54, .31, .005, 0
ABSURD, OUTRAGEOUS, YES, 153, 3, .020, 0.000, .0060, .0165, 1, 3, 5.0, 4, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 20, 2, ¥, , ADJ, 1.44, 0.00, 0.000, 0
ABSURD, UNBELIEVABLE, NO, 153, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSURD, UNHEARD OF, NO, 153, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSURD, FUNNY, YES, 153, 2, .013, 0.000, .0550, .0024, 3, 3, 2.0, 1, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 17, 41, 3.23, , AJ, 2.67, .60, .133, 1
ABSURD, IMPOSSIBLE, YES, 153, 2, .013, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, 16, 84, ¥, , AJ, 1.27, .18, .033, 0
ABSURD, LUDICROUS, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 17, ¥, , AJ, 2.91, .09, .009, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUNDANCE, LOTS, YES, 152, 34, .224, 0.000, .0010, .0169, 1, 4, 6.0, 6, 21, 13, ¥, , N, 2.24, .12, .010, 1, 16, 42, ¥, , N, 2.21, 0.00, 0.000, 0
ABUNDANCE, PLENTY, YES, 152, 19, .125, .077, .0090, .0099, 6, 4, 6.0, 2, 21, 13, ¥, , N, 2.24, .12, .010, 1, 17, 55, 2.88, , N, 3.07, .57, .033, 1
ABUNDANCE, MANY, YES, 152, 12, .079, 0.000, .0400, .0046, 5, 4, 4.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 8, 1030, 2.67, , AJ, 2.50, .75, .231, 1
ABUNDANCE, MONEY, YES, 152, 6, .039, 0.000, .0120, 0.0000, 5, 4, 0.0, 0, 21, 13, ¥, , N, 2.24, .12, .010, 1, 19, 265, 5.77, , N, 1.39, .89, .312, 1
ABUNDANCE, FOOD, YES, 152, 5, .033, 0.000, .0050, .0002, 3, 4, 1.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
ABUNDANCE, MUCH, YES, 152, 5, .033, 0.000, .0180, .0221, 3, 4, 5.0, 3, 21, 13, ¥, , N, 2.24, .12, .010, 1, 9, 937, 2.38, , AJ, 2.57, .29, .010, 1
ABUNDANCE, LACK, YES, 152, 4, .026, 0.000, .0010, .0009, 1, 4, 2.0, 2, 21, 13, ¥, , N, 2.24, .12, .010, 1, 27, 110, 3.00, , N, 1.39, 0.00, 0.000, 1
ABUNDANCE, SCARCITY, YES, 152, 4, .026, .027, 0.0000, .0056, 0, 4, 5.0, 5, 21, 13, ¥, , N, 2.24, .12, .010, 1, 19, 3, ¥, , N, 2.50, .07, .001, 1
ABUNDANCE, FULL, YES, 152, 3, .020, 0.000, .0080, .0023, 1, 4, 2.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 11, 230, 3.74, , AJ, .70, .60, .359, 1
ABUNDANCE, EXCESS, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 21, 13, ¥, , N, 2.24, .12, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUNDANCE, FAMINE, YES, 152, 2, .013, 0.000, 0.0000, .0008, 1, 4, 1.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 11, 3, 3.71, , N, 1.22, .11, .002, 1
ABUNDANCE, LARGE, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 1, 4, 0.0, 0, 21, 13, ¥, , N, 2.24, .12, .010, 1, 6, 361, 3.14, , AJ, 2.33, 1.00, .127, 1
ABUNDANCE, LITTLE, YES, 152, 2, .013, 0.000, .0380, .0002, 4, 4, 1.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 7, 831, 3.48, , AJ, 1.71, .57, .081, 1
ABUNDANCE, MORE, YES, 152, 2, .013, 0.000, .0270, .0061, 4, 4, 2.0, 1, 21, 13, ¥, , N, 2.24, .12, .010, 1, 9, 2216, 2.77, , AJ, 1.25, .50, .400, 1
ABUNDANCE, MYRIAD, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 21, 13, ¥, , N, 2.24, .12, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUNDANCE, OVERWHELMING, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 21, 13, ¥, , N, 2.24, .12, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUNDANCE, PEOPLE, YES, 152, 2, .013, 0.000, .0040, .0016, 1, 4, 1.0, 0, 21, 13, ¥, , N, 2.24, .12, .010, 1, 18, 847, 5.51, , N, 1.44, .61, .126, 1
ABUNDANCE, PLETHORA, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 21, 13, ¥, , N, 2.24, .12, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUNDANCE, TREES, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 21, 13, ¥, , N, 2.24, .12, .010, 1, 19, 101, 7.00, , N, 1.53, .12, .002, 1
ABUNDANCE, VARIETY, YES, 152, 2, .013, 0.000, 0.0000, .0198, 0, 4, 2.0, 2, 21, 13, ¥, , N, 2.24, .12, .010, 1, 17, 85, ¥, , N, .46, .15, .002, 0
ABUNDANCE, WATER, YES, 152, 2, .013, 0.000, .0010, 0.0000, 2, 4, 0.0, 0, 21, 13, ¥, , N, 2.24, .12, .010, 1, 18, 442, 6.27, , N, 2.00, .94, .146, 1
ABUSE, CHILD, YES, 198, 58, .293, 0.000, .0050, 0.0000, 2, 1, 0.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 15, 213, 5.72, , N, 2.60, .53, .163, 1
ABUSE, HURT, YES, 198, 28, .141, 0.000, .0280, .0141, 5, 1, 2.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 12, 37, 3.66, , V, 1.17, .83, .347, 1
ABUSE, HIT, YES, 198, 18, .091, 0.000, .0190, .0103, 5, 1, 3.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 18, 115, 4.39, G, V, 1.18, .47, .045, 1
ABUSE, BEAT, YES, 198, 15, .076, .017, .0020, .0304, 1, 1, 3.0, 3, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 17, 68, 3.67, G, V, 1.25, .50, .019, 1
ABUSE, NEGLECT, YES, 198, 13, .066, .193, 0.0000, .0208, 0, 1, 1.0, 1, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 12, 8, ¥, , V, 1.73, .27, .016, 1
ABUSE, DRUG, YES, 198, 9, .045, .061, .0030, .0023, 1, 1, 3.0, 2, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 20, 24, 5.54, G, N, 1.80, .65, .078, 1
ABUSE, MISTREAT, YES, 198, 9, .045, .462, 0.0000, .0109, 0, 1, 4.0, 4, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 16, 0, ¥, , V, 1.80, .07, .021, 1
ABUSE, ALCOHOL, YES, 198, 6, .030, .041, .0010, .0052, 1, 1, 1.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 12, 13, 6.87, , N, 2.70, .70, .035, 1
ABUSE, BAD, YES, 198, 5, .025, 0.000, .0060, 0.0000, 3, 1, 0.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 9, 142, 3.00, , AJ, .33, .56, .571, 1
ABUSE, PAIN, YES, 198, 5, .025, 0.000, .0730, .0777, 1, 1, 1.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 13, 88, 4.22, , N, .92, .50, .340, 1
ABUSE, USE, YES, 198, 3, .015, .192, .0010, 0.0000, 1, 1, 0.0, 0, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 22, 589, 2.88, G, V, .54, .31, .007, 0
ABUSE, VIOLENT, YES, 198, 3, .015, 0.000, .0010, .0022, 2, 1, 3.0, 1, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 24, 33, 2.86, , AJ, 1.83, .26, .008, 1
ABUSE, FIGHT, YES, 198, 2, .010, 0.000, .0030, .0119, 3, 1, 3.0, 1, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 24, 98, 4.16, , V, 2.05, .50, .106, 1
ABUSE, SEXUAL, NO, 198, 2, .010, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 1, 2.17, , V, 1.79, .43, .042, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABUSE, SPOUSE, YES, 198, 2, .010, 0.000, 0.0000, .0105, 0, 1, 1.0, 1, 15, 1, 2.17, , V, 1.79, .43, .042, 1, 11, 3, 6.12, , N, 3.45, .64, .029, 1
ACCELERATE, SPEED, YES, 140, 54, .386, .020, .0230, .1132, 3, 1, 4.0, 1, 11, 24, ¥, , V, 2.40, .20, .008, 1, 15, 83, 3.56, T, N, 1.47, .53, .056, 1
ACCELERATE, FAST, YES, 140, 38, .271, 0.000, .1460, .0416, 6, 1, 3.0, 0, 11, 24, ¥, , V, 2.40, .20, .008, 1, 7, 78, 2.93, N, AJ, 1.43, 1.00, .393, 1
ACCELERATE, CAR, YES, 140, 16, .114, 0.000, .0760, .0101, 5, 1, 4.0, 0, 11, 24, ¥, , V, 2.40, .20, .008, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
ACCELERATE, DECELERATE, NO, 140, 4, .029, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 11, 24, ¥, , V, 2.40, .20, .008, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ACCELERATE, GAS, YES, 140, 4, .029, 0.000, .0050, .0431, 2, 1, 1.0, 0, 11, 24, ¥, , V, 2.40, .20, .008, 1, 10, 98, 5.34, N, N, 1.20, .70, .153, 1
ACCELERATE, INCREASE, YES, 140, 4, .029, .014, 0.0000, 0.0000, 0, 1, 0.0, 0, 11, 24, ¥, , V, 2.40, .20, .008, 1, 11, 195, ¥, , V, .78, .33, .234, 0
ACCELERATE, GO, YES, 140, 2, .014, 0.000, .0090, .0105, 2, 1, 2.0, 1, 11, 24, ¥, , V, 2.40, .20, .008, 1, 14, 626, 3.33, , V, 2.64, .73, .425, 1
ACCELERATE, PEDAL, YES, 140, 2, .014, 0.000, 0.0000, .0113, 0, 1, 4.0, 4, 11, 24, ¥, , V, 2.40, .20, .008, 1, 11, 4, 5.95, , N, 1.09, .18, .026, 1
ACCELERATE, RACE, YES, 140, 2, .014, 0.000, .0070, .0128, 2, 1, 2.0, 1, 11, 24, ¥, , V, 2.40, .20, .008, 1, 17, 103, 4.46, T, N, 1.20, .27, .005, 1
ACCELERATE, SLOW, YES, 140, 2, .014, 0.000, .1860, .1487, 2, 1, 3.0, 1, 11, 24, ¥, , V, 2.40, .20, .008, 1, 11, 60, 2.89, , AJ, .50, .50, .369, 1
ACCELERATE, STOP, YES, 140, 2, .014, 0.000, .0080, .0086, 2, 1, 1.0, 0, 11, 24, ¥, , V, 2.40, .20, .008, 1, 8, 120, 2.93, G, V, 1.75, .88, .435, 1
ACCEPT, TAKE, YES, 150, 25, .168, 0.000, .0090, .0060, 3, 2, 2.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 11, 611, 3.20, , V, 2.55, .73, .250, 1
ACCEPT, REJECT, YES, 150, 16, .107, .169, .0040, .0102, 1, 2, 3.0, 2, 18, 72, ¥, , V, 1.94, .31, .026, 1, 18, 10, 2.82, , V, 2.00, .27, .022, 0
ACCEPT, DENY, YES, 150, 14, .094, .048, .0070, .0054, 1, 2, 3.0, 2, 18, 72, ¥, , V, 1.94, .31, .026, 1, 18, 47, 2.63, , V, 1.59, .29, .020, 1
ACCEPT, AGREE, YES, 150, 11, .074, 0.000, .0010, .0013, 3, 2, 1.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 11, 51, ¥, , V, .43, .43, .106, 0
ACCEPT, UNDERSTAND, YES, 150, 7, .047, 0.000, .0020, 0.0000, 2, 2, 0.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 12, 137, 2.33, , V, .91, .55, .271, 1
ACCEPT, ALLOW, YES, 150, 5, .034, 0.000, .0030, .0003, 2, 2, 2.0, 2, 18, 72, ¥, , V, 1.94, .31, .026, 1, 16, 72, 2.64, , V, 1.73, .33, .196, 1
ACCEPT, BELIEVE, YES, 150, 4, .027, .067, 0.0000, .0027, 0, 2, 3.0, 3, 18, 72, ¥, , V, 1.94, .31, .026, 1, 23, 200, 1.85, , V, 2.45, .27, .017, 1
ACCEPT, ACKNOWLEDGE, YES, 150, 3, .020, .069, 0.0000, .0031, 0, 2, 3.0, 3, 18, 72, ¥, , V, 1.94, .31, .026, 1, 22, 12, 2.86, , V, 1.29, .14, .004, 1
ACCEPT, UNACCEPTABLE, NO, 150, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 72, ¥, , V, 1.94, .31, .026, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ACCEPT, EXCEPT, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 18, 72, ¥, , V, 1.94, .31, .026, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ACCEPT, GIFT, YES, 150, 2, .013, 0.000, .0010, .0008, 2, 2, 2.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 16, 33, 5.28, , N, 1.50, .50, .200, 1
ACCEPT, GIVE, YES, 150, 2, .013, 0.000, .0750, .0765, 6, 2, 4.0, 1, 18, 72, ¥, , V, 1.94, .31, .026, 1, 13, 291, 3.18, , V, 2.25, .67, .225, 1
ACCEPT, GOOD, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 1, 2, 0.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 8, 807, 2.53, , AJ, .75, .75, .586, 1
ACCEPT, LIKE, YES, 150, 2, .013, 0.000, 0.0000, .0001, 1, 2, 1.0, 1, 18, 72, ¥, , V, 1.94, .31, .026, 1, 16, 1290, 2.82, N, V, 2.07, .67, .080, 1
ACCEPT, MONEY, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 2, 2, 0.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 19, 265, 5.77, , N, 1.39, .89, .312, 1
ACCEPT, RECEIVE, YES, 150, 2, .013, 0.000, .0100, .0153, 3, 2, 4.0, 1, 18, 72, ¥, , V, 1.94, .31, .026, 1, 15, 76, 2.98, , V, 1.93, .53, .077, 1
ACCEPT, WANT, YES, 150, 2, .013, 0.000, 0.0000, .0007, 0, 2, 2.0, 2, 18, 72, ¥, , V, 1.94, .31, .026, 1, 9, 329, 2.95, , V, 1.78, .67, .374, 1
ACCEPT, YES, YES, 150, 2, .013, .014, .0080, .0015, 4, 2, 1.0, 0, 18, 72, ¥, , V, 1.94, .31, .026, 1, 7, 144, ¥, , AD, .14, .57, .634, 1
ACCIDENT, CAR, YES, 148, 53, .358, 0.000, .0560, 0.0000, 3, 4, 0.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 25, 274, 6.35, , N, 2.50, .91, .259, 1
ACCIDENT, CRASH, YES, 148, 19, .128, .132, .0070, .1095, 1, 4, 3.0, 2, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 16, 20, 4.28, , V, 1.29, .36, .044, 1
ACCIDENT, MISTAKE, YES, 148, 11, .074, .029, 0.0000, .0006, 1, 4, 2.0, 1, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 11, 34, 2.70, , N, 1.64, .46, .170, 1
ACCIDENT, WRECK, YES, 148, 8, .054, .257, .0060, .1333, 2, 4, 2.0, 1, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 9, 8, 4.88, , V, 1.67, .56, .023, 1
ACCIDENT, INJURY, YES, 148, 5, .034, .042, .0010, .0141, 2, 4, 2.0, 1, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 12, 27, 5.51, , N, 1.58, .25, .024, 1
ACCIDENT, BAD, YES, 148, 4, .027, 0.000, .0020, 0.0000, 3, 4, 0.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 9, 142, 3.00, , AJ, .33, .56, .571, 1
ACCIDENT, UNINTENTIONAL, NO, 148, 4, .027, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 33, 4.26, , N, 1.69, .44, .037, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ACCIDENT, HURT, YES, 148, 3, .020, 0.000, .0280, .0120, 7, 4, 3.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 12, 37, 3.66, , V, 1.17, .83, .347, 1
ACCIDENT, PAIN, YES, 148, 3, .020, 0.000, .0200, .0110, 4, 4, 1.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 13, 88, 4.22, , N, .92, .50, .340, 1
ACCIDENT, PRONE, NO, 148, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 33, 4.26, , N, 1.69, .44, .037, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ACCIDENT, PURPOSE, YES, 148, 3, .020, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 13, 149, 2.40, , N, 1.62, .39, .031, 1
ACCIDENT, VICTIM, YES, 148, 3, .020, 0.000, 0.0000, .0016, 0, 4, 3.0, 3, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 20, 27, 5.49, , N, 3.00, .18, .012, 1
ACCIDENT, AMBULANCE, YES, 148, 2, .014, .116, 0.0000, .0069, 0, 4, 4.0, 4, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 18, 6, 7.00, , N, 1.72, .22, .033, 1
ACCIDENT, DANGER, YES, 148, 2, .014, .027, 0.0000, .0008, 0, 4, 2.0, 2, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 23, 70, 3.68, , N, 1.18, .41, .029, 1
ACCIDENT, FALL, YES, 148, 2, .014, 0.000, .0020, .0009, 2, 4, 1.0, 0, 20, 33, 4.26, , N, 1.69, .44, .037, 1, 17, 147, 3.86, P, V, 1.41, .65, .117, 1
